Names,Oat,Broken,Rye,Wheat,BarleyGreen,Cleaved,Skinned,folder,ccolor
5c2f20dc4162bb128cf8f42d,,False,False,,,True,False,2d,Green
5c2f20dc4162bb128cf8f42e,,False,False,,,True,False,2e,Green
5c2f20dc4162bb128cf8f42f,,False,False,,,True,False,2f,Green
5c2f20dc4162bb128cf8f430,,False,False,,,True,False,30,Green
5c2f20dc4162bb128cf8f431,,False,False,,,True,False,31,Green
5c2f20dc4162bb128cf8f432,,False,False,,,True,False,32,Green
5c2f20dc4162bb128cf8f433,,False,False,,,True,False,33,Green
5c2f20dc4162bb128cf8f434,,False,False,,,True,False,34,Green
5c2f20dc4162bb128cf8f435,,False,False,,,True,False,35,Green
5c2f20dc4162bb128cf8f436,,False,False,,,True,False,36,Green
5c2f20dc4162bb128cf8f437,,False,False,,,True,False,37,Green
5c2f20dc4162bb128cf8f438,,False,False,,,True,False,38,Green
5c2f20dc4162bb128cf8f439,,False,False,,,True,False,39,Green
5c2f20dc4162bb128cf8f43a,,False,False,,,True,False,3a,Green
5c2f20dc4162bb128cf8f43b,,False,False,,,True,False,3b,Green
5c2f20dc4162bb128cf8f43c,,False,False,,,True,False,3c,Green
5c2f20dc4162bb128cf8f43d,,False,False,,,True,False,3d,Green
5c2f20dc4162bb128cf8f43e,,False,False,,,True,False,3e,Green
5c2f20dc4162bb128cf8f43f,,False,False,,,True,False,3f,Green
5c2f20dc4162bb128cf8f440,,False,False,,,True,False,40,Green
5c2f20dc4162bb128cf8f441,,False,False,,,True,False,41,Green
5c2f20dc4162bb128cf8f442,,False,False,,,True,False,42,Green
5c2f20dc4162bb128cf8f443,,False,False,,,True,False,43,Green
5c2f20dc4162bb128cf8f444,,False,False,,,True,False,44,Green
5c2f20dc4162bb128cf8f445,,False,False,,,True,False,45,Green
5c2f20dc4162bb128cf8f446,,False,False,,,True,False,46,Green
5c2f20dc4162bb128cf8f447,,False,False,,,True,False,47,Green
5c2f20dc4162bb128cf8f448,,False,False,,,True,False,48,Green
5c2f20dc4162bb128cf8f449,,False,False,,,True,False,49,Green
5c2f20dc4162bb128cf8f44a,,False,False,,,True,False,4a,Green
5c2f20dc4162bb128cf8f44b,,False,False,,,True,False,4b,Green
5c2f20dc4162bb128cf8f44c,,False,False,,,True,False,4c,Green
5c2f20dc4162bb128cf8f44d,,False,False,,,True,False,4d,Green
5c2f20dc4162bb128cf8f44e,,False,False,,,True,False,4e,Green
5c2f20dc4162bb128cf8f44f,,False,False,,,True,False,4f,Green
5c2f20dc4162bb128cf8f450,,False,False,,,True,False,50,Green
5c2f20dc4162bb128cf8f451,,False,False,,,True,False,51,Green
5c2f20dc4162bb128cf8f452,,False,False,,,True,False,52,Green
5c2f20dc4162bb128cf8f453,,False,False,,,True,False,53,Blue
5c2f20dc4162bb128cf8f454,,False,False,,,True,False,54,Blue
5c2f20dc4162bb128cf8f455,,False,False,,,True,False,55,Green
5c2f20dc4162bb128cf8f456,,False,False,,,True,False,56,Green
5c2f20dc4162bb128cf8f457,,False,False,,,True,False,57,Blue
5c2f20dc4162bb128cf8f458,,False,False,,,True,False,58,Blue
5c2f20dc4162bb128cf8f459,,False,False,,,True,False,59,Green
5c2f20dc4162bb128cf8f45a,,False,False,,,True,False,5a,Green
5c2f20dc4162bb128cf8f45b,,False,False,,,True,False,5b,Green
5c2f20dc4162bb128cf8f45c,,False,False,,,True,False,5c,Green
5c2f20dc4162bb128cf8f45d,,False,False,,,True,False,5d,Green
5c2f20dc4162bb128cf8f45e,,False,False,,,True,False,5e,Green
5c2f20dc4162bb128cf8f45f,,False,False,,,True,False,5f,Green
5c2f20dc4162bb128cf8f460,,False,False,,,True,False,60,Green
5c2f20dc4162bb128cf8f461,,False,False,,,True,False,61,Green
5c2f20dc4162bb128cf8f462,,False,False,,,True,False,62,Green
5c2f20dc4162bb128cf8f463,,False,False,,,True,False,63,Green
5c2f20dc4162bb128cf8f464,,False,False,,,True,False,64,Green
5c2f20dc4162bb128cf8f465,,False,False,,,True,False,65,Green
5c2f20dc4162bb128cf8f466,,False,False,,,True,False,66,Green
5c2f20dc4162bb128cf8f467,,False,False,,,True,False,67,Green
5c2f20dc4162bb128cf8f468,,False,False,,,True,False,68,Green
5c2f20dc4162bb128cf8f469,,False,False,,,True,False,69,Green
5c2f20dc4162bb128cf8f46a,,False,False,,,True,False,6a,Green
5c2f20dc4162bb128cf8f46b,,False,False,,,True,,6b,Green
5c2f20dc4162bb128cf8f46c,,False,False,,,True,False,6c,Green
5c2f20dc4162bb128cf8f46d,,False,False,,,True,False,6d,Green
5c2f20dc4162bb128cf8f46e,,False,False,,,True,False,6e,Blue
5c2f20dc4162bb128cf8f46f,,False,False,,,True,False,6f,Blue
5c2f20dc4162bb128cf8f470,,False,False,,,True,False,70,Green
5c2f20dc4162bb128cf8f471,,False,False,,,True,False,71,Green
5c2f20dc4162bb128cf8f472,,False,False,,,True,False,72,Green
5c2f20dc4162bb128cf8f473,,False,False,,,True,False,73,Green
5c2f20dc4162bb128cf8f474,,False,False,,,True,False,74,Green
5c2f20dc4162bb128cf8f475,,False,False,,,True,False,75,Red
5c2f20dc4162bb128cf8f476,,False,False,,,True,False,76,Green
5c2f20dc4162bb128cf8f477,,False,False,,,True,False,77,Green
5c2f20dc4162bb128cf8f478,,False,False,,,True,False,78,Green
