,Names,Oat,Broken,Rye,Wheat,BarleyGreen,Cleaved,Skinned,folder,ccolor
0,5c2f20dc4162bb128cf8f42d,,False,False,,,True,False,2d,Green
1,5c2f20dc4162bb128cf8f42e,,False,False,,,True,False,2e,Green
2,5c2f20dc4162bb128cf8f42f,,False,False,,,True,False,2f,Green
3,5c2f20dc4162bb128cf8f430,,False,False,,,True,False,30,Green
4,5c2f20dc4162bb128cf8f431,,False,False,,,True,False,31,Green
5,5c2f20dc4162bb128cf8f432,,False,False,,,True,False,32,Green
6,5c2f20dc4162bb128cf8f433,,False,False,,,True,False,33,Green
7,5c2f20dc4162bb128cf8f434,,False,False,,,True,False,34,Green
8,5c2f20dc4162bb128cf8f435,,False,False,,,True,False,35,Green
9,5c2f20dc4162bb128cf8f436,,False,False,,,True,False,36,Green
10,5c2f20dc4162bb128cf8f437,,False,False,,,True,False,37,Green
11,5c2f20dc4162bb128cf8f438,,False,False,,,True,False,38,Green
12,5c2f20dc4162bb128cf8f439,,False,False,,,True,False,39,Green
13,5c2f20dc4162bb128cf8f43a,,False,False,,,True,False,3a,Green
14,5c2f20dc4162bb128cf8f43b,,False,False,,,True,False,3b,Green
15,5c2f20dc4162bb128cf8f43c,,False,False,,,True,False,3c,Green
16,5c2f20dc4162bb128cf8f43d,,False,False,,,True,False,3d,Green
17,5c2f20dc4162bb128cf8f43e,,False,False,,,True,False,3e,Green
18,5c2f20dc4162bb128cf8f43f,,False,False,,,True,False,3f,Green
19,5c2f20dc4162bb128cf8f440,,False,False,,,True,False,40,Green
20,5c2f20dc4162bb128cf8f441,,False,False,,,True,False,41,Green
21,5c2f20dc4162bb128cf8f442,,False,False,,,True,False,42,Green
22,5c2f20dc4162bb128cf8f443,,False,False,,,True,False,43,Green
23,5c2f20dc4162bb128cf8f444,,False,False,,,True,False,44,Green
24,5c2f20dc4162bb128cf8f445,,False,False,,,True,False,45,Green
25,5c2f20dc4162bb128cf8f446,,False,False,,,True,False,46,Green
26,5c2f20dc4162bb128cf8f447,,False,False,,,True,False,47,Green
27,5c2f20dc4162bb128cf8f448,,False,False,,,True,False,48,Green
